Browse	Prehľadávať
Expand	Rozšíriť
Collapse	Zbaliť
Check	Zaškrtnúť
Uncheck	Zrušiť zaškrtnutie
Vertical scroll bar	Zvislý posúvač
Horizontal scroll bar	Vodorovný posúvač
Please press enter to go into child control for more operations	Stlačením klávesu Enter prejdete na ovládací prvok ponúkajúci viac operácií
Column %COLUMNNUMBER	Stĺpec %COLUMNNUMBER
Row %ROWNUMBER	Riadok %ROWNUMBER
Add	Pridať
Apply	Použiť
Cancel	Zrušiť
Close	Zavrieť
Delete	Zmazať
Edit	Upraviť
Help	Pomocník
New	Nový
No	Nie
OK	OK
Remove	Odstrániť
Reset	Resetovať
Yes	Áno
Open	Otvoriť
Play	Prehrať
Pause	Pozastaviť
Stop	Zastaviť
Repeat	Opakovať
Mute	Stlmiť
50%	50 %
100%	100 %
200%	200 %
Scaled	Škálované
Volume	Hlasitosť
Position	Poloha
Media Player	Prehrávač médií
Media Path	Cesta k multimédiám
No Media Selected	Nebolo vybrané žiadne multimédium
Insert Audio or Video	Vložiť zvuk alebo video
Open Audio or Video	Otvoriť zvuk alebo video
All audio and video files	Všetky zvukové a video súbory
All files	Všetky súbory
The format of the selected file is not supported.	Formát zvoleného súboru nie je podporovaný.
View	Zobraziť
<All>	<Všetko>
< No Module >	< Nie Modul >
Incorrect Password	Nesprávne heslo
The file does not contain any BASIC libraries	Súbor neobsahuje žiadne knižnice BASICu
Invalid Name	Neplatné meno
A library name can have up to 30 characters.	Názov knižnice môže obsahovať do 30 znakov.
Macros from other documents are not accessible.	Makrá z iného dokumentu nie sú prístupné.
This library is read-only.	Táto knižnica je len na čítanie.
'XX' cannot be replaced.	Nie je možné nahradiť „XX“.
'XX' cannot be added.	Nie je možné pridať „XX“.
'XX' was not added.	„XX“ nebolo pridané.
Enter password for 'XX'	Zadajte heslo pre „XX“
Name already exists	Názov už existuje
(Signed)	(Podpísané)
Object with same name already exists	Objekt s rovnakým názvom už existuje
Search key not found	Hľadané kľúčové slovo nenájdené
Search to last module complete. Continue at first module?	Hľadanie do posledného modulu ukončené. Pokračovať od prvého modulu?
Search key replaced XX times	Hľadané kľúčové slovo bolo nahradené XX-krát
The file could not be read	Súbor sa nedá čítať
The file could not be saved	Súbor sa nedá uložiť
The name of the default library cannot be changed.	Názov predvolenej knižnice nie je možné zmeniť.
Generating source	Generujem zdroj
File name:	Názov súboru:
Import Libraries	Importovať knižnice
Do you want to delete the macro XX?	Chcete odstrániť makro XX?
Do you want to delete the XX dialog?	Chcete odstrániť dialógové okno XX?
Do you want to delete the XX library?	Chcete odstrániť knižnicu XX?
Do you want to delete the reference to the XX library?	Chcete odstrániť odkaz na knižnicu XX?
Do you want to delete the XX module?	Chcete odstrániť modul XX?
BASIC	BASIC
Ln	Riad
Col	Stĺpec
The window cannot be closed while BASIC is running.	Okno nemôže byť zavreté pokým beží BASIC.
The default library cannot be replaced.	Predvolenú knižnicu nie je možné nahradiť.
Reference to 'XX' not possible.	Odkaz na „XX“ nie je možný.
Watch	Sledovanie
Call Stack	Zásobník volaní
Dialog	Dialóg
New Library	Nová knižnica
New Module	Nový modul
New Dialog	Nové dialógové okno
All	Všetko
Page	Strana
Do you want to replace the text in all active modules?	Chcete zmeniť texty vo všetkých aktívnych moduloch?
Watch:	Sledovanie:
Calls: 	Volania: 
My Macros	Moje makrá
My Dialogs	Moje dialógové okná
My Macros & Dialogs	Moje makrá a dialógové okná
%PRODUCTNAME Macros	Makrá %PRODUCTNAME
%PRODUCTNAME Dialogs	Dialógové okná %PRODUCTNAME
%PRODUCTNAME Macros & Dialogs	Makrá & dialógové okná %PRODUCTNAME
Remove Watch	Odstrániť sledovanie
Do you want to overwrite the XX macro?	Chcete prepísať makro XX?
<Not localized>	<Nelokalizované>
[Default Language]	[Predvolený jazyk]
Document Objects	Objekty dokumentu
Forms	Formuláre
Modules	Moduly
Class Modules	Moduly triedy
Rename	Premenovať
Replace	Nahradiť
Dialog Import - Name already used	Importovanie dialógového okna - názov sa už používa
Omit	Vynechať
Dialog Import - Language Mismatch	Importovanie dialógového okna - nekompatibilné jazyky
Pages:	Strany:
All Pages	Všetky strany
Even pages	Párne strany
Odd pages	Nepárne strany
Choose	Vybrať
Run	Spustiť
Save	Uložiť
Object Catalog	Katalóg objektov
Properties: 	Vlastnosti: 
No Control marked	Nie je označené žiadne kontrolné pole
Multiselection	Viacnásobný výber
<Press 'Add' to create language resources>	<Stlačte 'Pridať' pre vytvorenie zdrojov jazyka>
Export library as extension	Exportovať knižnicu ako rozšírenie
Export as BASIC library	Exportovať ako knižnicu BASIC
Extension	Rozšírenie
Basic Macros	Makrá Basicu
Runs or saves the current macro.	Spustí alebo uloží aktuálne makro.
Lists the macros that are contained in the module selected in the Macro from list.	Zoznam makier, ktoré sú obsiahnuté v module vybranom v zozname Makro z.
Existing Macros In:	Existujúce makrá v:
Macro From	Makro z
Save Macro In	Uložiť makro do
Macro Name	Názov makra
Assign...	Priradiť...
Starts the %PRODUCTNAME Basic editor and opens the selected macro or dialog for editing.	Spustí editor %PRODUCTNAME Basic a otvorí makro alebo dialógové okno na úpravu.
Creates a new macro, creates a new module or deletes the selected macro or selected module.	Vytvorí nové makro alebo modul alebo zmaže vybrané makro či modul.
Creates a new library.	Vytvorí novú knižnicu.
Organizer...	Organizátor...
Saves the recorded macro in a new library.	Uloží zaznamenané makro do novej knižnice.
Saves the recorded macro in a new module.	Uloží zaznamenané makro do nového modulu.
Opens a dialog to organize macros.	Otvorí dialógové okno na správu makier.
Manage Breakpoints...	Body prerušenia...
Specifies the options for breakpoints.	Určuje vlastnosti bodov prerušenia.
Active	Aktívny
Activates or deactivates the current breakpoint.	Aktivuje alebo deaktivuje súčasný bod prerušenia.
Properties...	Vlastnosti...
Set Default User Interface Language	Nastaviť predvolený jazyk používateľského rozhrania
Default language:	Predvolený jazyk:
Available languages:	Dostupné jazyky:
Add User Interface Languages	Pridať jazyky používateľského rozhrania
Delete Language Resources	Odstrániť jazykové zdroje
Do you want to delete the resources of the selected language(s)?	Chcete odstrániť zdroje pre vybraný jazyk/vybrané jazyky?
Dialog:	Dialóg:
Deletes the selected element or elements after confirmation.	Po potvrdení odstráni vybraný prvok alebo prvky.
Opens the %PRODUCTNAME Basic editor so that you can modify the selected library.	Otvorí editor %PRODUCTNAME Basic, v ktorom je možné upraviť vybranú knižnicu.
New...	Nový...
Opens the editor and creates a new module.	Otvorí editor a vytvorí nový modul.
Deletes the selected element or elements without requiring confirmation.	Odstráni vybraný prvok alebo prvky bez potreby potvrdenia.
Password...	Heslo...
Assigns or edits the password for the selected library.	Priradí alebo upraví heslo vybranej knižnice.
Import...	Importovať...
Export...	Exportovať...
Lists the existing modules or dialogs.	Zoznam existujúcich modulov alebo dialógových okien.
Variable	Premenná
Value	Hodnota
Type	Typ
Export Basic library	Exportovať knižnicu BASIC
Export as extension	Exportovať ako rozšírenie
Go to Line	Prejsť na riadok
Line number:	Číslo riadka:
Insert as reference (read-only)	Vložiť ako odkaz (iba na čítanie)
Replace existing libraries	Nahradiť existujúce knižnice
Replaces a library that has the same name with the current library.	Nahradí knižnicu, ktorá má rovnaký názov ako aktuálna knižnica.
Options	Možnosti
Location:	Umiestnenie:
Select the application or the document containing the macro libraries that you want to organize.	Vyberte aplikáciu alebo dokument obsahujúci knižnice, ktoré chcete spravovať.
Library:	Knižnica:
Manage Breakpoints	Spravovať body prerušenia
Creates a breakpoint on the line number specified.	Vytvorí bod prerušenia na určenom riadku.
Deletes the selected breakpoint.	Zmaže vybraný bod prerušenia.
Active	Aktívne
Enter the line number for a new breakpoint, then click New.	Zadajte číslo riadku pre nový bod prerušenia a kliknite na Nový.
Specify the number of loops to perform before the breakpoint takes effect.	Určuje počet slučiek, ktoré prebehnú, než bod prerušenia zapôsobí.
Pass count:	Počet prechodov:
Breakpoints	Body prerušenia
Manage User Interface Languages [$1]	Spravovať jazyky používateľského rozhrania [$1]
Present languages:	Dostupné jazyky:
Add...	Pridať...
Default	Predvolené
Module:	Modul:
Lists the existing macro libraries for the current application and any open documents.	Zoznam existujúcich knižníc makier pre aktuálnu aplikáciu a otvorené dokumenty.
Lets you manage the macro libraries.	Umožňuje správu knižníc makier.
Creates a new macro, or deletes the selected macro.	Vytvorí nové makro alebo odstráni vybrané makro.
Name:	Meno:
Enter a name for the new library or module.	Zadajte názov novej knižnice alebo modulu.
Basic Macro Organizer	Organizátor makier Basicu
Dialogs	Dialógové okná
Libraries	Knižnice
Sorting	Zoradenie
Alphabetically	Abecedne
Proper order	Špeciálne poradie
Syntax error.	Chyba syntaxe.
Return without Gosub.	Return bez Gosub.
Incorrect entry; please retry.	Nesprávna položka, prosím zopakujte zadanie.
Invalid procedure call.	Neplatné volanie procedúry.
Overflow.	Pretečenie.
Not enough memory.	Nedostatok pamäti.
Array already dimensioned.	Pole už má rozmery.
Index out of defined range.	Index mimo definovaného rozsahu.
Duplicate definition.	Opakovaná definícia.
Division by zero.	Delenie nulou.
Variable not defined.	Premenná nie je definovaná.
Data type mismatch.	Typy dát nesúhlasia.
Invalid parameter.	Neplatný parameter.
Process interrupted by user.	Proces prerušený používateľom.
Resume without error.	Pokračovať bez chýb.
Not enough stack memory.	Nedostatok pamäti v zásobníku.
Sub-procedure or function procedure not defined.	Podprocedúra alebo funkčná procedúra nie je definovaná.
Error loading DLL file.	Chyba pri načítaní súboru DLL.
Wrong DLL call convention.	Chyba konvencie volania DLL.
Internal error $(ARG1).	Interná chyba $(ARG1).
Invalid file name or file number.	Neplatný názov alebo číslo súboru.
File not found.	Súbor nenájdený.
Incorrect file mode.	Nesprávny režim súboru.
File already open.	Súbor je už otvorený.
Device I/O error.	Chyba zariadenia I/O.
File already exists.	Súbor už existuje.
Incorrect record length.	Nesprávna dĺžka záznamu.
Disk or hard drive full.	Disk je plný.
Reading exceeds EOF.	Načítavanie prekročilo koniec súboru (EOF).
Incorrect record number.	Nesprávne číslo záznamu.
Too many files.	Príliš veľa súborov.
Device not available.	Zariadenie nedostupné.
Access denied.	Prístup odmietnutý.
Disk not ready.	Disk nie je pripravený.
Not implemented.	Neimplementované.
Renaming on different drives impossible.	Premenovanie na rôznych diskoch nie je možné.
Path/File access error.	Chyba pri prístupe k súboru.
Path not found.	Cesta nenájdená.
Object variable not set.	Premenná objektu nie je nastavená.
Invalid string pattern.	Neplatný reťazec.
Use of zero not permitted.	Nedovolené použitie nuly.
DDE Error.	DDE chyba.
Awaiting response to DDE connection.	Čaká sa odozva na pripojenie DDE.
No DDE channels available.	Nedostupné kanály DDE.
No application responded to DDE connect initiation.	Na inicializáciu DDE spojenia neodpovedala žiadna aplikácia.
Too many applications responded to DDE connect initiation.	Na inicializáciu DDE spojenia odpovedalo príliš veľa aplikácií.
DDE channel locked.	DDE kanál zamknutý.
External application cannot execute DDE operation.	Externá aplikácia nemôže vykonať DDE operáciu.
Timeout while waiting for DDE response.	Uplynul čas čakania na DDE odpoveď.
User pressed ESCAPE during DDE operation.	Používateľ stlačil ESCAPE počas DDE operácie.
External application busy.	Externá aplikácia je zaneprázdnená.
DDE operation without data.	DDE operácia bez dát.
Data are in wrong format.	Dáta sú v nesprávnom formáte.
